Cell_Type,Dataset,Cell_Class,Label,Hodge_2018,Bakken_2019,Class_Level1,Class_Level2
Exc_L3_LINC00507_PSRC1,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3_LINC00507_PSRC1,,,,L3
Exc_L3_LINC00507_PSRC1,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3_LINC00507_PSRC1,,,,L3
Exc_L3_RORB_CARTPT,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3_RORB_CARTPT,,,RORB,L3
Exc_L3_RORB_CARTPT,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3_RORB_CARTPT,,,RORB,L3
Exc_L3_RORB_CARTPT,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3_RORB_CARTPT,,,RORB,L3
Exc_L3_RORB_OTOGL,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3_RORB_OTOGL,,L5 IT,RORB,L3
Exc_L3_RORB_OTOGL,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3_RORB_OTOGL,,L5 IT,RORB,L3
Exc_L3_THEMIS_ENPEP,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3_THEMIS_ENPEP,,L5 IT,,L3
Exc_L3_THEMIS_ENPEP,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3_THEMIS_ENPEP,,L5 IT,,L3
Exc_L4_5_FEZF2_SCN4B,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L4.5_FEZF2_SCN4B,Exc Deep layers,,FEZF2,L4-5
Exc_L4_5_FEZF2_SCN4B,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L4.5_FEZF2_SCN4B,Exc Deep layers,,FEZF2,L4-5
Exc_L4_5_FEZF2_SCN4B,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L4.5_FEZF2_SCN4B,Exc Deep layers,,FEZF2,L4-5
Exc_L4_5_RORB_AIM2,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4.5_RORB_AIM2,,,RORB,L4-5
Exc_L4_5_RORB_ASCL1,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4.5_RORB_ASCL1,,,RORB,L4-5
Exc_L4_5_RORB_DAPK2,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L4.5_RORB_DAPK2,Exc Superficial layers,,RORB,L4-5
Exc_L4_5_RORB_DAPK2,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L4.5_RORB_DAPK2,Exc Superficial layers,,RORB,L4-5
Exc_L4_5_RORB_DAPK2,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L4.5_RORB_DAPK2,Exc Superficial layers,,RORB,L4-5
Exc_L4_5_RORB_FOLH1B,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L4.5_RORB_FOLH1B,Exc Superficial layers,,RORB,L4-5
Exc_L4_5_RORB_FOLH1B,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L4.5_RORB_FOLH1B,Exc Superficial layers,,RORB,L4-5
Exc_L4_5_RORB_FOLH1B,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L4.5_RORB_FOLH1B,Exc Superficial layers,,RORB,L4-5
Exc_L4_5_RORB_HNRNPA1P46,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L4.5_RORB_HNRNPA1P46,,,RORB,L4-5
Exc_L4_5_RORB_HNRNPA1P46,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L4.5_RORB_HNRNPA1P46,,,RORB,L4-5
Exc_L4_5_RORB_HNRNPA1P46,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L4.5_RORB_HNRNPA1P46,,,RORB,L4-5
Exc_L4_5_RORB_HNRNPA1P46,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4.5_RORB_HNRNPA1P46,,,RORB,L4-5
Exc_L4_5_RORB_LCN15,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L4.5_RORB_LCN15,,,RORB,L4-5
Exc_L4_5_RORB_LCN15,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L4.5_RORB_LCN15,,,RORB,L4-5
Exc_L4_5_RORB_LCN15,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L4.5_RORB_LCN15,,,RORB,L4-5
Exc_L4_5_RORB_LCN15,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4.5_RORB_LCN15,,,RORB,L4-5
Exc_L4_5_RORB_LINC01474,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L4.5_RORB_LINC01474,,,RORB,L4-5
Exc_L4_5_RORB_LINC01474,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L4.5_RORB_LINC01474,,,RORB,L4-5
Exc_L4_5_RORB_LINC01474,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L4.5_RORB_LINC01474,,,RORB,L4-5
Exc_L4_5_RORB_LINC01474,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4.5_RORB_LINC01474,,,RORB,L4-5
Exc_L4_5_RORB_RPL31P31,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L4.5_RORB_RPL31P31,,,RORB,L4-5
Exc_L4_5_RORB_RPL31P31,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L4.5_RORB_RPL31P31,,,RORB,L4-5
Exc_L4_5_RORB_RPL31P31,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L4.5_RORB_RPL31P31,,,RORB,L4-5
Exc_L4_5_RORB_RPL31P31,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4.5_RORB_RPL31P31,,,RORB,L4-5
Exc_L4_6_FEZF2_IL26,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L4.6_FEZF2_IL26,Exc Deep layers,,FEZF2,L4-6
Exc_L4_6_FEZF2_IL26,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L4.6_FEZF2_IL26,Exc Deep layers,,FEZF2,L4-6
Exc_L4_6_FEZF2_IL26,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L4.6_FEZF2_IL26,Exc Deep layers,,FEZF2,L4-6
Exc_L4_6_RORB_C1R,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L4.6_RORB_C1R,Exc Deep layers,,RORB,L4-6
Exc_L4_6_RORB_C1R,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L4.6_RORB_C1R,Exc Deep layers,,RORB,L4-6
Exc_L4_6_RORB_C1R,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L4.6_RORB_C1R,Exc Deep layers,,RORB,L4-6
Exc_L4_6_RORB_HPCA,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L4.6_RORB_HPCA,,,RORB,L4-6
Exc_L4_6_RORB_HPCA,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L4.6_RORB_HPCA,,,RORB,L4-6
Exc_L4_6_RORB_HPCA,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4.6_RORB_HPCA,,,RORB,L4-6
Exc_L4_6_RORB_SEMA3E,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L4.6_RORB_SEMA3E,Exc Deep layers,,RORB,L4-6
Exc_L4_6_RORB_SEMA3E,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L4.6_RORB_SEMA3E,Exc Deep layers,,RORB,L4-6
Exc_L4_6_RORB_SEMA3E,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L4.6_RORB_SEMA3E,Exc Deep layers,,RORB,L4-6
Exc_L4_RORB_BHLHE22,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L4_RORB_BHLHE22,,,RORB,L4
Exc_L4_RORB_BHLHE22,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L4_RORB_BHLHE22,,,RORB,L4
Exc_L4_RORB_BHLHE22,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4_RORB_BHLHE22,,,RORB,L4
Exc_L4_RORB_CACNG5,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L4_RORB_CACNG5,,,RORB,L4
Exc_L4_RORB_CACNG5,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4_RORB_CACNG5,,,RORB,L4
Exc_L4_RORB_CCDC168,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L4_RORB_CCDC168,,,RORB,L4
Exc_L4_RORB_CCDC168,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L4_RORB_CCDC168,,,RORB,L4
Exc_L4_RORB_CCDC168,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L4_RORB_CCDC168,,,RORB,L4
Exc_L5_6_FEZF2_ABO,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L5.6_FEZF2_ABO,Exc Deep layers,,FEZF2,L5-6
Exc_L5_6_FEZF2_ABO,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L5.6_FEZF2_ABO,Exc Deep layers,,FEZF2,L5-6
Exc_L5_6_FEZF2_ABO,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L5.6_FEZF2_ABO,Exc Deep layers,,FEZF2,L5-6
Exc_L5_6_FEZF2_ANKRD20A1,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L5.6_FEZF2_ANKRD20A1,,,FEZF2,L5-6
Exc_L5_6_FEZF2_ANKRD20A1,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_FEZF2_ANKRD20A1,,,FEZF2,L5-6
Exc_L5_6_FEZF2_ANKRD20A1,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_FEZF2_ANKRD20A1,,,FEZF2,L5-6
Exc_L5_6_FEZF2_ANKRD20A1,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L5.6_FEZF2_ANKRD20A1,,,FEZF2,L5-6
Exc_L5_6_FEZF2_C9orf135_AS1,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L5.6_FEZF2_C9orf135.AS1,,L6 CT,FEZF2,L5-6
Exc_L5_6_FEZF2_C9orf135_AS1,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L5.6_FEZF2_C9orf135.AS1,,L6 CT,FEZF2,L5-6
Exc_L5_6_FEZF2_CABP7,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L5.6_FEZF2_CABP7,,,FEZF2,L5-6
Exc_L5_6_FEZF2_CABP7,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_FEZF2_CABP7,,,FEZF2,L5-6
Exc_L5_6_FEZF2_CABP7,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_FEZF2_CABP7,,,FEZF2,L5-6
Exc_L5_6_FEZF2_CABP7,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L5.6_FEZF2_CABP7,,,FEZF2,L5-6
Exc_L5_6_FEZF2_CFTR,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L5.6_FEZF2_CFTR,,L6b,FEZF2,L5-6
Exc_L5_6_FEZF2_CFTR,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L5.6_FEZF2_CFTR,,L6b,FEZF2,L5-6
Exc_L5_6_FEZF2_CYP26B1,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L5.6_FEZF2_CYP26B1,,,FEZF2,L5-6
Exc_L5_6_FEZF2_CYP26B1,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_FEZF2_CYP26B1,,,FEZF2,L5-6
Exc_L5_6_FEZF2_CYP26B1,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_FEZF2_CYP26B1,,,FEZF2,L5-6
Exc_L5_6_FEZF2_EFTUD1P1,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L5.6_FEZF2_EFTUD1P1,Exc Deep layers,,FEZF2,L5-6
Exc_L5_6_FEZF2_EFTUD1P1,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L5.6_FEZF2_EFTUD1P1,Exc Deep layers,,FEZF2,L5-6
Exc_L5_6_FEZF2_EFTUD1P1,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L5.6_FEZF2_EFTUD1P1,Exc Deep layers,,FEZF2,L5-6
Exc_L5_6_FEZF2_FILIP1L,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L5.6_FEZF2_FILIP1L,,L6 CT,FEZF2,L5-6
Exc_L5_6_FEZF2_FILIP1L,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L5.6_FEZF2_FILIP1L,,L6 CT,FEZF2,L5-6
Exc_L5_6_FEZF2_IFNG_AS1,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L5.6_FEZF2_IFNG.AS1,,L5/6 NP,FEZF2,L5-6
Exc_L5_6_FEZF2_IFNG_AS1,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L5.6_FEZF2_IFNG.AS1,,L5/6 NP,FEZF2,L5-6
Exc_L5_6_FEZF2_LPO,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L5.6_FEZF2_LPO,,L5/6 NP,FEZF2,L5-6
Exc_L5_6_FEZF2_LPO,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L5.6_FEZF2_LPO,,L5/6 NP,FEZF2,L5-6
Exc_L5_6_FEZF2_MYBPHL,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L5.6_FEZF2_MYBPHL,,,FEZF2,L5-6
Exc_L5_6_FEZF2_MYBPHL,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_FEZF2_MYBPHL,,,FEZF2,L5-6
Exc_L5_6_FEZF2_MYBPHL,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_FEZF2_MYBPHL,,,FEZF2,L5-6
Exc_L5_6_FEZF2_MYBPHL,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L5.6_FEZF2_MYBPHL,,,FEZF2,L5-6
Exc_L5_6_FEZF2_OR1L8,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L5.6_FEZF2_OR1L8,,L6 CT,FEZF2,L5-6
Exc_L5_6_FEZF2_OR1L8,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L5.6_FEZF2_OR1L8,,L6 CT,FEZF2,L5-6
Exc_L5_6_FEZF2_RSAD2,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_FEZF2_RSAD2,,,FEZF2,L5-6
Exc_L5_6_FEZF2_RSAD2,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_FEZF2_RSAD2,,,FEZF2,L5-6
Exc_L5_6_FEZF2_RSAD2,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L5.6_FEZF2_RSAD2,,,FEZF2,L5-6
Exc_L5_6_FEZF2_SH2D1B,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L5.6_FEZF2_SH2D1B,,L6 CT,FEZF2,L5-6
Exc_L5_6_FEZF2_SH2D1B,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L5.6_FEZF2_SH2D1B,,L6 CT,FEZF2,L5-6
Exc_L5_6_RORB_LINC00320,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L5.6_RORB_LINC00320,,,RORB,L5-6
Exc_L5_6_RORB_LINC00320,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_RORB_LINC00320,,,RORB,L5-6
Exc_L5_6_RORB_LINC00320,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_RORB_LINC00320,,,RORB,L5-6
Exc_L5_6_RORB_LINC00320,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L5.6_RORB_LINC00320,,,RORB,L5-6
Exc_L5_6_RORB_TTC12,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L5.6_RORB_TTC12,Exc Deep layers,,RORB,L5-6
Exc_L5_6_RORB_TTC12,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L5.6_RORB_TTC12,Exc Deep layers,,RORB,L5-6
Exc_L5_6_RORB_TTC12,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L5.6_RORB_TTC12,Exc Deep layers,,RORB,L5-6
Exc_L5_6_SLC17A7_IL15,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L5.6_SLC17A7_IL15,Exc Deep layers,,,L5-6
Exc_L5_6_SLC17A7_IL15,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L5.6_SLC17A7_IL15,Exc Deep layers,,,L5-6
Exc_L5_6_SLC17A7_IL15,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L5.6_SLC17A7_IL15,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_C1QL3,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L5.6_THEMIS_C1QL3,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_C1QL3,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L5.6_THEMIS_C1QL3,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_C1QL3,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L5.6_THEMIS_C1QL3,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_CRABP1,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L5.6_THEMIS_CRABP1,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_CRABP1,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L5.6_THEMIS_CRABP1,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_CRABP1,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L5.6_THEMIS_CRABP1,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_DCSTAMP,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L5.6_THEMIS_DCSTAMP,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_DCSTAMP,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L5.6_THEMIS_DCSTAMP,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_FGF10,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L5.6_THEMIS_FGF10,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_FGF10,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L5.6_THEMIS_FGF10,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_FGF10,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L5.6_THEMIS_FGF10,Exc Deep layers,,,L5-6
Exc_L5_6_THEMIS_GPR21,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L5.6_THEMIS_GPR21,,,,L5-6
Exc_L5_6_THEMIS_GPR21,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L5.6_THEMIS_GPR21,,,,L5-6
Exc_L5_6_THEMIS_GPR21,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_THEMIS_GPR21,,,,L5-6
Exc_L5_6_THEMIS_GPR21,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_THEMIS_GPR21,,,,L5-6
Exc_L5_6_THEMIS_IL7R,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_THEMIS_IL7R,,,,L5-6
Exc_L5_6_THEMIS_IL7R,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_THEMIS_IL7R,,,,L5-6
Exc_L5_6_THEMIS_IL7R,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L5.6_THEMIS_IL7R,,,,L5-6
Exc_L5_6_THEMIS_OR1J1,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_THEMIS_OR1J1,,,,L5-6
Exc_L5_6_THEMIS_OR1J1,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_THEMIS_OR1J1,,,,L5-6
Exc_L5_6_THEMIS_OR1J1,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L5.6_THEMIS_OR1J1,,,,L5-6
Exc_L5_6_THEMIS_SMYD1,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L5.6_THEMIS_SMYD1,,L6 IT Car3,,L5-6
Exc_L5_6_THEMIS_SMYD1,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L5.6_THEMIS_SMYD1,,L6 IT Car3,,L5-6
Exc_L5_6_THEMIS_THTPA,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_THEMIS_THTPA,,,,L5-6
Exc_L5_6_THEMIS_TMEM233,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L5.6_THEMIS_TMEM233,,,,L5-6
Exc_L5_6_THEMIS_TMEM233,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L5.6_THEMIS_TMEM233,,,,L5-6
Exc_L5_6_THEMIS_TMEM233,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L5.6_THEMIS_TMEM233,,,,L5-6
