Cell_Type,Dataset,Cell_Class,Label,Hodge_2018,Bakken_2019,Class_Level1,Class_Level2
Inh_L5_6_SST_DNAJC14,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_SST_DNAJC14,,Sst,MGE,SST
Inh_L5_6_SST_FBN2,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_SST_FBN2,,Sst,MGE,SST
Inh_L5_6_SST_FBN2,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_SST_FBN2,,Sst,MGE,SST
Inh_L5_6_SST_ISOC1,ABI_2019_SMART-Seq_v4_V1,INH,ABI_2019_SMART-Seq_v4_V1_Inh_L5.6_SST_ISOC1,,,MGE,SST
Inh_L5_6_SST_ISOC1,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,INH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Inh_L5.6_SST_ISOC1,,,MGE,SST
Inh_L5_6_SST_ISOC1,ABI_2019_SMART-Seq_v4_A1,INH,ABI_2019_SMART-Seq_v4_A1_Inh_L5.6_SST_ISOC1,,,MGE,SST
Inh_L5_6_SST_ISOC1,ABI_2019_SMART-Seq_v4_S1,INH,ABI_2019_SMART-Seq_v4_S1_Inh_L5.6_SST_ISOC1,,,MGE,SST
Inh_L5_6_SST_ISX,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_SST_ISX,,Sst,MGE,SST
Inh_L5_6_SST_ISX,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_SST_ISX,,Sst,MGE,SST
Inh_L5_6_SST_KLHDC8A,Luo_2019_10x_Chromium_V3_BA46,INH,Luo_2019_10x_Chromium_V3_BA46_Inh_L5.6_SST_KLHDC8A,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_KLHDC8A,Luo_2019_10x_Chromium_V3_BA44-45,INH,Luo_2019_10x_Chromium_V3_BA44-45_Inh_L5.6_SST_KLHDC8A,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_KLHDC8A,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,INH,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Inh_L5.6_SST_KLHDC8A,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_KLHL1,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_SST_KLHL1,,Sst,MGE,SST
Inh_L5_6_SST_KLHL1,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_SST_KLHL1,,Sst,MGE,SST
Inh_L5_6_SST_KLHL14,ABI_2019_SMART-Seq_v4_V1,INH,ABI_2019_SMART-Seq_v4_V1_Inh_L5.6_SST_KLHL14,,,MGE,SST
Inh_L5_6_SST_KLHL14,ABI_2019_SMART-Seq_v4_S1,INH,ABI_2019_SMART-Seq_v4_S1_Inh_L5.6_SST_KLHL14,,,MGE,SST
Inh_L5_6_SST_KLHL14,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,INH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Inh_L5.6_SST_KLHL14,,,MGE,SST
Inh_L5_6_SST_KLHL14,ABI_2019_SMART-Seq_v4_A1,INH,ABI_2019_SMART-Seq_v4_A1_Inh_L5.6_SST_KLHL14,,,MGE,SST
Inh_L5_6_SST_MIR548F2,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,INH,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Inh_L5.6_SST_MIR548F2,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_MIR548F2,Luo_2019_10x_Chromium_V3_BA44-45,INH,Luo_2019_10x_Chromium_V3_BA44-45_Inh_L5.6_SST_MIR548F2,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_MIR548F2,Luo_2019_10x_Chromium_V3_BA46,INH,Luo_2019_10x_Chromium_V3_BA46_Inh_L5.6_SST_MIR548F2,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_NPM1P10,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,INH,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Inh_L5.6_SST_NPM1P10,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_NPM1P10,Luo_2019_10x_Chromium_V3_BA44-45,INH,Luo_2019_10x_Chromium_V3_BA44-45_Inh_L5.6_SST_NPM1P10,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_NPM1P10,Luo_2019_10x_Chromium_V3_BA46,INH,Luo_2019_10x_Chromium_V3_BA46_Inh_L5.6_SST_NPM1P10,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_PAWR,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_SST_PAWR,,Sst,MGE,SST
Inh_L5_6_SST_PAWR,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_SST_PAWR,,Sst,MGE,SST
Inh_L5_6_SST_PIK3CD,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_SST_PIK3CD,,Sst,MGE,SST
Inh_L5_6_SST_PIK3CD,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_SST_PIK3CD,,Sst,MGE,SST
Inh_L5_6_SST_TH,ABI_2019_SMART-Seq_v4_A1,INH,ABI_2019_SMART-Seq_v4_A1_Inh_L5.6_SST_TH,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_TH,Luo_2019_10x_Chromium_V3_BA44-45,INH,Luo_2019_10x_Chromium_V3_BA44-45_Inh_L5.6_SST_TH,GABAergic LHX6,,MGE,SST
Inh_L5_6_SST_TH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,INH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Inh_L5.6_SST_TH,GABAergic LHX6,,MGE,SST
